type,image1,image1cat,image1order,image1caption,image2,image2cat,image2order,image2caption,correct
bw,Boundary3b.png,b,13,Julien is carried away after being announced as the new king,Within2b.png,w,7,Maurice says all the people seem to like the new King Julien,2
bb,Boundary19a.png,b,76,Celebrating King Julien saving the baby from the falling tree,Boundary12a.png,b,48,King Julien makes a plan to kiss all the baby lemurs,2
bw,Within8b.png,w,31,King Julien does eenie meenie minie moe and picks Clover's plan,Boundary15b.png,b,61,Clover tries to decide which lemur is the hater between a few suspects,1
ww,Within12b.png,w,47,Maurice says to wait for everyone to forget; Gigi says to try something new,Within13b.png,w,51,King Julien accidentally kisses Mort,1
bw,Boundary8a.png,b,32,Julien and Maurice decide to interview a group of lemurs,Within20b.png,w,79,King Julien tells Clover he doesn't care about the investigation anymore,1
bw,Within5b.png,w,19,"Maurice tells King Julien to focus on the good things, not the hater",BoundaryStart.png,b,1,The ship yard before Julien is announced as the new king,2
bb,Boundary10b.png,b,41,King Julien blows up Hector's house,Boundary17b.png,b,69,King Julien arrives to hand out free mangoes,1
bb,Boundary15a.png,b,60,"King Julien thanks the skelelon for its ""help""",Boundary13a.png,b,52,The lemurs are mad King Julien kicked Mort away,2
bw,Boundary5a.png,b,20,Willie yells about sharks from the boat off in the distance,Within16a.png,w,62,Clover looks at her evidence to try to figure out who the hater is,1
bb,Boundary16a.png,b,64,Clover needs more evidence to figure out who the hater is,Boundary19b.png,b,77,Maurice adds kumquats because all the lemurs like King Julien now,1
ww,Within16b.png,w,63,Clover thinks she might know who King Julien's hater is,Within11a.png,w,42,Maurice takes off kumquats after Julien blows up Hector's house,2
